|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 5918786 | 2011-10-28 08:29:55 |      PSTR |       TLE | -1.00 |   6588 | C++ |
| 5918785 | 2011-10-28 08:29:36 |      PSTR |        CE |  0.00 |      0 | C++ |
| 5915018 | 2011-10-27 15:58:45 |   MSTRMND |        AC |  0.00 |   2688 | C++ |
| 5869296 | 2011-10-20 09:06:14 |  STRCOUNT |        AC |  0.02 |   2748 | C++ |
| 5869118 | 2011-10-20 08:00:35 |  INDIPROG |        AC |  0.00 |   2824 | C++ |
| 5869116 | 2011-10-20 08:00:03 |  INDIPROG |        CE |  0.00 |      0 | C++ |
| 5862744 | 2011-10-19 08:48:44 |  INDIPROG |        WA |  0.00 |   2824 | C++ |
| 5862697 | 2011-10-19 08:42:11 |  INDIPROG |        WA |  0.00 |   2824 | C++ |
| 5862695 | 2011-10-19 08:41:49 |  INDIPROG |        CE |  0.00 |      0 | C++ |
| 5862520 | 2011-10-19 07:41:07 |   MSTRING |        AC |  0.05 |   7124 | C++ |
| 5862518 | 2011-10-19 07:40:45 |   MSTRING |        CE |  0.00 |      0 | C++ |
| 5793266 | 2011-10-07 10:14:48 |    TABLIC |        WA |  0.00 |   2704 | C++ |
| 5445738 | 2011-07-29 15:46:56 |       OAE |        AC |  0.01 |  10512 | C++ |
| 5442866 | 2011-07-28 20:13:25 |   ITERBIT |        CE |  0.00 |      0 | C++ |
| 5442851 | 2011-07-28 20:09:17 |   ITERBIT |       TLE | -1.00 |  25456 | C++ |
| 5440575 | 2011-07-28 11:11:46 |   RAINBOW |        WA |  0.66 |   3868 | C++ |
| 5392506 | 2011-07-17 11:37:43 |    MAIN74 |        AC |  0.00 |   2872 | C++ |
| 5350789 | 2011-07-08 11:08:25 |    ADV04J |        AC |  0.00 |   2736 | C++ |
| 5350780 | 2011-07-08 11:06:17 |    ADV04J |       TLE | -1.00 |   7692 | PYT |
| 5329044 | 2011-07-03 15:08:33 |   FUNFACT |        WA |  3.41 |  61328 | C++ |
| 5329023 | 2011-07-03 15:02:21 |   FUNFACT |        WA |  1.72 |  14456 | C++ |
| 5329010 | 2011-07-03 14:58:37 |   FUNFACT |        WA |  1.42 |   2736 | C++ |
| 5329007 | 2011-07-03 14:57:38 |   FUNFACT |        WA |  1.83 |   2736 | C++ |
| 5328993 | 2011-07-03 14:53:36 |   FUNFACT |        WA |  2.06 |  10552 | C++ |
| 5328985 | 2011-07-03 14:51:14 |   FUNFACT |        WA |  2.02 |  10552 | C++ |
| 5328972 | 2011-07-03 14:48:46 |   FUNFACT |        WA |  1.99 |  10552 | C++ |
| 5324372 | 2011-07-02 09:22:28 |      SEQ6 |        WA |  0.75 |  41752 | C++ |
| 5324370 | 2011-07-02 09:21:19 |      SEQ6 |        WA |  0.72 |  41752 | C++ |
| 5324299 | 2011-07-02 08:52:14 |      SEQ6 |        WA |  0.73 |  41752 | C++ |
| 5324276 | 2011-07-02 08:42:20 |      SEQ6 |        WA |  0.73 |  41752 | C++ |
| 5320947 | 2011-07-01 13:34:29 |      SEQ6 |        AC |  1.46 |   6592 | C++ |
| 5320376 | 2011-07-01 10:26:10 |  MSKYCODE |        AC |  0.02 |   2852 | C++ |
| 5317493 | 2011-06-30 16:54:56 |     HKNAP |       TLE | -1.00 |   2920 | C++ |
| 5317462 | 2011-06-30 16:46:56 |     HKNAP |        WA |  1.41 |   2840 | C++ |
| 5317457 | 2011-06-30 16:46:01 |     HKNAP |        CE |  0.00 |      0 | C++ |
| 5317454 | 2011-06-30 16:45:37 |     HKNAP |        CE |  0.00 |      0 | C++ |
| 5317405 | 2011-06-30 16:35:26 |     HKNAP |        WA |  1.98 |   2764 | C++ |
| 5317403 | 2011-06-30 16:35:10 |     HKNAP |        WA |  1.59 |   2760 | C++ |
| 5317401 | 2011-06-30 16:34:56 |     HKNAP |       TLE | -1.00 |   2768 | C++ |
| 5317400 | 2011-06-30 16:34:41 |     HKNAP |       TLE | -1.00 |   2792 | C++ |
| 5317392 | 2011-06-30 16:32:46 |     HKNAP |        WA |  1.09 |   2756 | C++ |
| 5317384 | 2011-06-30 16:31:03 |     HKNAP |        WA |  0.18 |   2748 | C++ |
| 5317360 | 2011-06-30 16:22:29 |     HKNAP |       TLE | -1.00 |   2748 | C++ |
| 5317355 | 2011-06-30 16:21:36 |     HKNAP |        RE |  0.00 |   2740 | C++ |
| 5317349 | 2011-06-30 16:20:06 |     HKNAP |        RE |  0.00 |   2740 | C++ |
| 5317337 | 2011-06-30 16:16:40 |     HKNAP |       TLE | -1.00 |   2748 | C++ |
| 5317331 | 2011-06-30 16:15:08 |     HKNAP |       TLE | -1.00 |   2748 | C++ |
| 5317327 | 2011-06-30 16:14:32 |     HKNAP |        RE |  0.01 |   2740 | C++ |
| 5317321 | 2011-06-30 16:13:23 |     HKNAP |        RE |  0.00 |   2740 | C++ |
| 5311401 | 2011-06-29 08:55:38 |      TOHU |        AC |  0.01 |   2736 | C++ |
| 5307806 | 2011-06-28 12:41:17 |  MNMXPATH |        WA |  0.01 |   2928 | C++ |
| 5307784 | 2011-06-28 12:37:42 |  MNMXPATH |        WA |  0.00 |   2928 | C++ |
| 5306883 | 2011-06-28 07:35:53 |      BIO1 |        AC |  0.18 |  10928 | C++ |
| 5306882 | 2011-06-28 07:32:54 |      BIO1 |        WA |  0.00 |  10928 | C++ |
| 5306871 | 2011-06-28 07:24:02 |      BIO1 |       TLE | -1.00 |   2736 | C++ |
| 5305704 | 2011-06-27 23:09:15 |  PATULJCI |       TLE | -1.00 |   6884 | C++ |
| 5305648 | 2011-06-27 22:57:54 |  PATULJCI |       TLE | -1.00 |   6492 | C++ |
| 5305638 | 2011-06-27 22:54:55 |  PATULJCI |       TLE | -1.00 |   6492 | C++ |
| 5304823 | 2011-06-27 20:02:28 |  ANARC08I |        AC |  0.13 |   2736 | C++ |
| 5304809 | 2011-06-27 20:00:31 |  ANARC08I |        AC |  0.13 |   2688 | C++ |
| 5304255 | 2011-06-27 17:53:14 |  MRECTCNT |        AC |  0.55 |  10552 | C++ |
| 5303872 | 2011-06-27 16:36:34 |  MRECTCNT |       TLE | -1.00 |  10560 | C++ |
| 5303852 | 2011-06-27 16:33:02 |  MRECTCNT |       TLE | -1.00 |  10560 | C++ |
| 5303845 | 2011-06-27 16:31:39 |  MRECTCNT |        WA |  0.00 |  10560 | C++ |
| 5303840 | 2011-06-27 16:31:06 |  MRECTCNT |        WA |  0.00 |  10560 | C++ |
| 5303831 | 2011-06-27 16:29:26 |  MRECTCNT |       TLE | -1.00 |  10552 | C++ |
| 5300158 | 2011-06-26 20:20:54 |    DOUBLE |        AC |  0.09 |   7744 | PYT |
| 5300127 | 2011-06-26 20:12:19 |    DOUBLE |        WA |  0.96 |   3736 | PYT |
| 5298167 | 2011-06-26 12:05:01 |    TFSETS |        AC |  0.19 |   3504 | C++ |
| 5297338 | 2011-06-26 07:08:03 |     KRECT |        AC |  0.45 |   2840 | C++ |
| 5293921 | 2011-06-25 12:26:17 |     NY10D |        WA |  0.02 |   2820 | C++ |
